	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU1069	k__Fungi	p__Ascomycota					
OTU1070	k__Fungi	p__Ascomycota					
OTU1071	k__Fungi	p__Ascomycota	c__Lecanoromycetes				
OTU1072	k__Fungi	p__Ascomycota					
OTU1073	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Sarocladiaceae	g__Sarocladium	s__kiliense
OTU1074	k__Fungi	p__Ascomycota	c__Lecanoromycetes	o__Pertusariales	f__Pertusariaceae	g__Pertusaria	s__obruta
OTU1075	k__Fungi						
OTU1076	k__Fungi	p__Ascomycota	c__Lecanoromycetes				
OTU1077	k__Fungi						
OTU1078	k__Fungi						
OTU1079	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Hymenochaetales	f__Hirschioporaceae	g__Pallidohirschioporus	s__subchartaceus
OTU1080	k__Fungi	p__Basidiomycota	c__Malasseziomycetes	o__Malasseziales	f__Malasseziaceae	g__Malassezia	s__globosa
OTU1081	k__Fungi						
OTU1082	k__Fungi	p__Ascomycota	c__Lecanoromycetes	o__Pertusariales	f__Pertusariaceae	g__Pertusaria	s__obruta
OTU1083	k__Fungi						
OTU1084	k__Fungi	p__Ascomycota					
OTU1085	k__Fungi						
OTU1086	k__Fungi	p__Ascomycota	c__Lecanoromycetes				
OTU1087	k__Fungi	p__Ascomycota	c__Taphrinomycetes	o__Taphrinales	f__Taphrinaceae	g__Taphrina	
OTU1088	k__Fungi						
OTU1089	k__Fungi						
OTU1090	k__Fungi						
OTU1091	k__Fungi						
OTU1092	k__Fungi						
OTU1093	k__Fungi						
OTU1094	k__Fungi						
OTU1095	k__Fungi	p__Ascomycota	c__Lecanoromycetes	o__Pertusariales	f__Pertusariaceae	g__Pertusaria	s__obruta
OTU1096	k__Fungi						
OTU1097	k__Fungi						
OTU1098	k__Fungi						
OTU1099	k__Fungi						
OTU1100	k__Fungi	p__Chytridiomycota					
OTU1101	k__Fungi	p__Ascomycota	c__Lecanoromycetes				
OTU1102	k__Fungi	p__Ascomycota	c__Lecanoromycetes				
OTU1103	k__Fungi						
OTU1104	k__Fungi						
OTU1105	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Nectriaceae	g__Fusarium	s__incarnatum
OTU1106	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Aspergillaceae	g__Aspergillus	
OTU1107	k__Fungi						
OTU1108	k__Fungi						
OTU1109	k__Fungi	p__Ascomycota					
OTU1110	k__Fungi						
OTU1111	k__Fungi	p__Ascomycota	c__Lecanoromycetes				
OTU1112	k__Fungi						
OTU1113	k__Fungi						
OTU1114	k__Fungi						
OTU1115	k__Fungi						
OTU1116	k__Fungi						
OTU1117	k__Fungi	p__Ascomycota					
OTU1118	k__Fungi	p__Ascomycota					
OTU1119	k__Fungi						
OTU1120	k__Fungi						
OTU1121	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Amphisphaeriales	f__Apiosporaceae	g__Nigrospora	s__oryzae
OTU1122	k__Fungi						
OTU1123	k__Fungi	p__Basidiomycota	c__Malasseziomycetes	o__Malasseziales	f__Malasseziaceae	g__Malassezia	
OTU1124	k__Fungi	p__Ascomycota					
OTU1125	k__Fungi						
OTU1126	k__Fungi	p__Chytridiomycota					
OTU1127	k__Fungi						
OTU1128	k__Fungi	p__Ascomycota	c__Lecanoromycetes	o__Pertusariales	f__Pertusariaceae	g__Pertusaria	s__obruta
OTU1129	k__Fungi						
OTU1130	k__Fungi						
OTU1131	k__Fungi	p__Ascomycota	c__Lecanoromycetes				
OTU1132	k__Fungi	p__Ascomycota					
OTU1133	k__Fungi						
OTU1134	k__Fungi						
OTU1135	k__Fungi						
OTU1136	k__Fungi	p__Ascomycota					
OTU1137	k__Fungi						
OTU1138	k__Fungi						
OTU1139	k__Fungi						
OTU1140	k__Fungi	p__Ascomycota	c__Lecanoromycetes				
OTU1141	k__Fungi	p__Ascomycota	c__Lecanoromycetes				
OTU1142	k__Fungi						
OTU1143	k__Fungi						
OTU1144	k__Fungi	p__Chytridiomycota	c__Chytridiomycota_cls_Incertae_sedis	o__Chytridiomycota_ord_Incertae_sedis	f__Chytridiomycota_fam_Incertae_sedis	g__Chytridiomycota_gen_Incertae_sedis	
OTU1145	k__Fungi	p__Chytridiomycota					
OTU1146	k__Fungi						
OTU1147	k__Fungi						
OTU1148	k__Fungi	p__Ascomycota	c__Lecanoromycetes				
OTU1149	k__Fungi	p__Ascomycota					
OTU1150	k__Fungi	p__Ascomycota	c__Lecanoromycetes	o__Pertusariales	f__Pertusariaceae	g__Pertusaria	s__obruta
OTU1151	k__Fungi						
OTU1152	k__Fungi	p__Chytridiomycota	c__Chytridiomycota_cls_Incertae_sedis	o__Chytridiomycota_ord_Incertae_sedis	f__Chytridiomycota_fam_Incertae_sedis	g__Chytridiomycota_gen_Incertae_sedis	
OTU1153	k__Fungi	p__Ascomycota	c__Lecanoromycetes				
OTU1154	k__Fungi	p__Ascomycota					
OTU1155	k__Fungi						
OTU1156	k__Fungi	p__Ascomycota	c__Lecanoromycetes	o__Pertusariales	f__Pertusariaceae	g__Pertusaria	s__obruta
OTU1157	k__Fungi	p__Ascomycota	c__Lecanoromycetes				
OTU1158	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Psathyrellaceae	g__Coprinellus	s__micaceus
OTU1159	k__Fungi	p__Ascomycota					
OTU1160	k__Fungi	p__Ascomycota					
OTU1161	k__Fungi	p__Chytridiomycota	c__Chytridiomycota_cls_Incertae_sedis	o__Chytridiomycota_ord_Incertae_sedis	f__Chytridiomycota_fam_Incertae_sedis	g__Chytridiomycota_gen_Incertae_sedis	
OTU1162	k__Fungi						
OTU1163	k__Fungi						
OTU1164	k__Fungi	p__Ascomycota					
OTU1165	k__Fungi	p__Ascomycota	c__Lecanoromycetes	o__Graphidales	f__Gomphillaceae	g__Gomphillus	s__calycioides
OTU1166	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Botryosphaeriales	f__Botryosphaeriaceae	g__Lasiodiplodia	
OTU1167	k__Fungi						
OTU1168	k__Fungi						
OTU1169	k__Fungi	p__Ascomycota	c__Lecanoromycetes	o__Pertusariales	f__Pertusariaceae	g__Pertusaria	s__obruta
OTU1170	k__Fungi	p__Ascomycota					
OTU1171	k__Fungi	p__Ascomycota					
OTU1172	k__Fungi						
OTU1173	k__Fungi						
OTU1174	k__Fungi	p__Ascomycota	c__Lecanoromycetes				
OTU1175	k__Fungi	p__Ascomycota					
OTU1176	k__Fungi	p__Chytridiomycota					
OTU1177	k__Fungi						
OTU1178	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Pleosporaceae	g__Alternaria	
OTU1179	k__Fungi	p__Ascomycota					
OTU1180	k__Fungi	p__Basidiomycota	c__Malasseziomycetes	o__Malasseziales	f__Malasseziaceae	g__Malassezia	s__arunalokei
OTU1181	k__Fungi	p__Ascomycota	c__Lecanoromycetes	o__Pertusariales	f__Pertusariaceae	g__Pertusaria	s__obruta
OTU1182	k__Fungi						
OTU1183	k__Fungi						
OTU1184	k__Fungi	p__Ascomycota	c__Lecanoromycetes	o__Pertusariales	f__Pertusariaceae	g__Pertusaria	s__obruta
OTU1185	k__Fungi						
OTU1186	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Myrotheciomycetaceae	g__Trichothecium	s__roseum
OTU1187	k__Fungi	p__Ascomycota					
OTU1188	k__Fungi	p__Ascomycota	c__Lecanoromycetes				
OTU1189	k__Fungi	p__Chytridiomycota					
OTU1190	k__Fungi						
OTU1191	k__Fungi						
OTU1192	k__Fungi	p__Ascomycota	c__Lecanoromycetes				
OTU1193	k__Fungi						
OTU1194	k__Fungi						
OTU1195	k__Fungi	p__Ascomycota					
OTU1196	k__Fungi						
OTU1197	k__Fungi						
OTU1198	k__Fungi	p__Chytridiomycota	c__Chytridiomycota_cls_Incertae_sedis	o__Chytridiomycota_ord_Incertae_sedis	f__Chytridiomycota_fam_Incertae_sedis	g__Chytridiomycota_gen_Incertae_sedis	
OTU1199	k__Fungi	p__Ascomycota	c__Lecanoromycetes				
OTU1200	k__Fungi						
OTU1201	k__Fungi	p__Ascomycota					
OTU1202	k__Fungi	p__Ascomycota	c__Lecanoromycetes				
OTU1203	k__Fungi	p__Chytridiomycota					
OTU1204	k__Fungi	p__Ascomycota	c__Lecanoromycetes	o__Pertusariales	f__Pertusariaceae	g__Pertusaria	s__obruta
OTU1205	k__Fungi	p__Chytridiomycota					
OTU1206	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Pleosporaceae	g__Curvularia	s__heteropogonis
OTU1207	k__Fungi						
OTU1208	k__Fungi						
OTU1209	k__Fungi						
OTU1210	k__Fungi						
OTU1211	k__Fungi						
OTU1212	k__Fungi	p__Ascomycota	c__Lecanoromycetes	o__Pertusariales	f__Pertusariaceae	g__Pertusaria	s__obruta
OTU1213	k__Fungi						
OTU1214	k__Fungi	p__Ascomycota	c__Lecanoromycetes				
OTU1215	k__Fungi	p__Ascomycota	c__Lecanoromycetes	o__Pertusariales	f__Pertusariaceae	g__Pertusaria	s__obruta
OTU1216	k__Fungi						
OTU1217	k__Fungi	p__Ascomycota	c__Lecanoromycetes				
OTU1218	k__Fungi	p__Ascomycota					
OTU1219	k__Fungi	p__Ascomycota					
OTU1220	k__Fungi						
OTU1221	k__Fungi						
OTU1222	k__Fungi	p__Chytridiomycota					
OTU1223	k__Fungi						
OTU1224	k__Fungi						
OTU1225	k__Fungi						
OTU1226	k__Fungi						
OTU1227	k__Fungi						
OTU1228	k__Fungi						
OTU1229	k__Fungi						
OTU1230	k__Fungi						
OTU1231	k__Fungi	p__Ascomycota	c__Lecanoromycetes				
OTU1232	k__Fungi						
OTU1233	k__Fungi	p__Ascomycota					
OTU1234	k__Fungi						
OTU1235	k__Fungi						
OTU1236	k__Fungi	p__Ascomycota					
OTU1237	k__Fungi						
OTU1238	k__Fungi						
OTU1239	k__Fungi						
OTU1240	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Saccharomycetales_fam_Incertae_sedis	g__Candida	s__orthopsilosis
OTU1241	k__Fungi	p__Ascomycota					
OTU1242	k__Fungi						
OTU1243	k__Fungi	p__Ascomycota	c__Lecanoromycetes				
OTU1244	k__Fungi						
OTU1245	k__Fungi	p__Ascomycota	c__Lecanoromycetes				
OTU1246	k__Fungi	p__Ascomycota					
OTU1247	k__Fungi						
OTU1248	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Sarocladiaceae	g__Sarocladium	s__kiliense
OTU1249	k__Fungi						
OTU1250	k__Fungi	p__Ascomycota					
OTU1251	k__Fungi	p__Ascomycota	c__Lecanoromycetes	o__Pertusariales	f__Pertusariaceae	g__Pertusaria	s__obruta
OTU1252	k__Fungi	p__Ascomycota	c__Lecanoromycetes				
OTU1253	k__Fungi	p__Ascomycota					
OTU1254	k__Fungi	p__Ascomycota	c__Lecanoromycetes				
OTU1255	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Saccharomycetales_fam_Incertae_sedis	g__Candida	s__albicans
OTU1256	k__Fungi						
OTU1257	k__Fungi						
OTU1258	k__Fungi	p__Ascomycota					
OTU1259	k__Fungi	p__Ascomycota					
OTU1260	k__Fungi						
OTU1261	k__Fungi						
OTU1262	k__Fungi	p__Ascomycota	c__Lecanoromycetes				
OTU1263	k__Fungi						
OTU1264	k__Fungi	p__Ascomycota	c__Lecanoromycetes				
OTU1265	k__Fungi						
OTU1266	k__Fungi						
OTU1267	k__Fungi	p__Ascomycota					
OTU1268	k__Fungi						
OTU1269	k__Fungi	p__Chytridiomycota	c__Chytridiomycota_cls_Incertae_sedis	o__Chytridiomycota_ord_Incertae_sedis	f__Chytridiomycota_fam_Incertae_sedis	g__Chytridiomycota_gen_Incertae_sedis	
OTU1270	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Thermoascaceae	g__Paecilomyces	
OTU1271	k__Fungi	p__Ascomycota					
OTU1272	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Glomerellales	f__Plectosphaerellaceae	g__Chlamydosporiella	s__restricta
OTU1273	k__Fungi	p__Ascomycota	c__Lecanoromycetes				
OTU1274	k__Fungi						
OTU1275	k__Fungi						
OTU1276	k__Fungi	p__Ascomycota	c__Lecanoromycetes	o__Pertusariales	f__Pertusariaceae	g__Pertusaria	s__obruta
OTU1277	k__Fungi	p__Ascomycota					
OTU1278	k__Fungi	p__Ascomycota	c__Lecanoromycetes				
OTU1279	k__Fungi						
OTU1280	k__Fungi						
OTU1281	k__Fungi	p__Ascomycota					
OTU1282	k__Fungi						
OTU1283	k__Fungi	p__Ascomycota					
OTU1284	k__Fungi						
OTU1285	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Hypocreales_fam_Incertae_sedis	g__Xenoacrodontium	s__juglandis
OTU1286	k__Fungi						
OTU1287	k__Fungi						
OTU1288	k__Fungi						
OTU1289	k__Fungi						
OTU1290	k__Fungi	p__Ascomycota					
OTU1291	k__Fungi	p__Ascomycota					
OTU1292	k__Fungi	p__Ascomycota	c__Lecanoromycetes				
OTU1293	k__Fungi						
OTU1294	k__Fungi						
OTU1295	k__Fungi						
OTU1296	k__Fungi						
OTU1297	k__Fungi	p__Basidiomycota	c__Malasseziomycetes	o__Malasseziales	f__Malasseziaceae	g__Malassezia	s__globosa
OTU1298	k__Fungi	p__Ascomycota					
OTU1299	k__Fungi	p__Ascomycota					
OTU1300	k__Fungi						
OTU1301	k__Fungi						
OTU1302	k__Fungi	p__Ascomycota	c__Lecanoromycetes	o__Pertusariales	f__Pertusariaceae	g__Pertusaria	s__obruta
OTU1303	k__Fungi						
OTU1304	k__Fungi	p__Ascomycota					
OTU1305	k__Fungi						
OTU1306	k__Fungi	p__Ascomycota	c__Lecanoromycetes				
OTU1307	k__Fungi						
OTU1308	k__Fungi						
OTU1309	k__Fungi	p__Ascomycota	c__Lecanoromycetes				
OTU1310	k__Fungi						
OTU1311	k__Fungi						
OTU1312	k__Fungi	p__Ascomycota	c__Lecanoromycetes	o__Pertusariales	f__Pertusariaceae	g__Pertusaria	s__obruta
OTU1313	k__Fungi	p__Ascomycota	c__Lecanoromycetes	o__Pertusariales	f__Pertusariaceae	g__Pertusaria	s__obruta
OTU1314	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Nectriaceae	g__Fusarium	s__incarnatum
OTU1315	k__Fungi						
OTU1316	k__Fungi						
OTU1317	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Sarocladiaceae	g__Sarocladium	s__kiliense
OTU1318	k__Fungi	p__Ascomycota	c__Lecanoromycetes				
OTU1319	k__Fungi	p__Ascomycota					
OTU1320	k__Fungi						
OTU1321	k__Fungi						
OTU1322	k__Fungi						
OTU1323	k__Fungi						
OTU1324	k__Fungi						
OTU1325	k__Fungi						
OTU1326	k__Fungi	p__Ascomycota					
OTU1327	k__Fungi	p__Ascomycota					
OTU1328	k__Fungi	p__Chytridiomycota	c__Chytridiomycota_cls_Incertae_sedis	o__Chytridiomycota_ord_Incertae_sedis	f__Chytridiomycota_fam_Incertae_sedis	g__Chytridiomycota_gen_Incertae_sedis	
OTU1329	k__Fungi	p__Ascomycota					
OTU1330	k__Fungi	p__Ascomycota	c__Lecanoromycetes				
OTU1331	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Phaffomycetaceae	g__Wickerhamomyces	s__anomalus
OTU1332	k__Fungi						
OTU1333	k__Fungi	p__Chytridiomycota					
OTU1334	k__Fungi	p__Ascomycota					
OTU1335	k__Fungi						
OTU1336	k__Fungi						
OTU1337	k__Fungi	p__Ascomycota					
OTU1338	k__Fungi						
OTU1339	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Sarocladiaceae	g__Sarocladium	s__kiliense
OTU1340	k__Fungi	p__Chytridiomycota					
OTU1341	k__Fungi	p__Ascomycota					
OTU1342	k__Fungi						
OTU1343	k__Fungi						
OTU1344	k__Fungi	p__Ascomycota					
OTU1345	k__Fungi	p__Ascomycota	c__Lecanoromycetes				
OTU1346	k__Fungi	p__Ascomycota	c__Lecanoromycetes				
OTU1347	k__Fungi	p__Chytridiomycota					
OTU1348	k__Fungi	p__Ascomycota					
OTU1349	k__Fungi						
OTU1350	k__Fungi						
OTU1351	k__Fungi	p__Chytridiomycota					
OTU1352	k__Fungi	p__Ascomycota					
OTU1353	k__Fungi						
OTU1354	k__Fungi	p__Ascomycota	c__Lecanoromycetes				
OTU1355	k__Fungi						
OTU1356	k__Fungi	p__Ascomycota					
OTU1357	k__Fungi						
OTU1358	k__Fungi						
OTU1359	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Aspergillaceae	g__Penicillium	s__bialowiezense
OTU1360	k__Fungi						
OTU1361	k__Fungi						
OTU1362	k__Fungi						
OTU1363	k__Fungi						
OTU1364	k__Fungi						
OTU1365	k__Fungi						
OTU1366	k__Fungi	p__Ascomycota	c__Lecanoromycetes				
OTU1367	k__Fungi	p__Ascomycota	c__Lecanoromycetes				
OTU1368	k__Fungi						
OTU1369	k__Fungi						
OTU1370	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Pleosporaceae	g__Exserohilum	s__turcicum
OTU1371	k__Fungi	p__Ascomycota	c__Lecanoromycetes				
OTU1372	k__Fungi						
OTU1373	k__Fungi	p__Ascomycota	c__Lecanoromycetes				
OTU1374	k__Fungi						
OTU1375	k__Fungi						
OTU1376	k__Fungi	p__Basidiomycota	c__Exobasidiomycetes	o__Microstromatales	f__Microstromatales_fam_Incertae_sedis	g__Pseudomicrostroma	s__phylloplanum
OTU1377	k__Fungi	p__Ascomycota	c__Lecanoromycetes	o__Pertusariales	f__Pertusariaceae	g__Pertusaria	s__obruta
OTU1378	k__Fungi						
OTU1379	k__Fungi						
OTU1380	k__Fungi	p__Ascomycota					
OTU1381	k__Fungi						
OTU1382	k__Fungi	p__Ascomycota					
OTU1383	k__Fungi						
OTU1384	k__Fungi	p__Ascomycota	c__Lecanoromycetes				
OTU1385	k__Fungi						
OTU1386	k__Fungi	p__Ascomycota					
OTU1387	k__Fungi						
OTU1388	k__Fungi	p__Chytridiomycota	c__Chytridiomycota_cls_Incertae_sedis	o__Chytridiomycota_ord_Incertae_sedis	f__Chytridiomycota_fam_Incertae_sedis	g__Chytridiomycota_gen_Incertae_sedis	
OTU1389	k__Fungi						
OTU1390	k__Fungi						
OTU1391	k__Fungi	p__Ascomycota	c__Lecanoromycetes				
OTU1392	k__Fungi	p__Chytridiomycota					
OTU1393	k__Fungi						
OTU1394	k__Fungi	p__Ascomycota					
OTU1395	k__Fungi	p__Ascomycota					
OTU1396	k__Fungi	p__Ascomycota					
OTU1397	k__Fungi						
OTU1398	k__Fungi	p__Ascomycota	c__Lecanoromycetes				
OTU1399	k__Fungi						
OTU1400	k__Fungi						
OTU1401	k__Fungi	p__Ascomycota	c__Lecanoromycetes	o__Caliciales	f__Physciaceae	g__Kurokawia	s__palmulata
OTU1402	k__Fungi	p__Chytridiomycota					
OTU1403	k__Fungi	p__Ascomycota					
OTU1404	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Helotiaceae	g__Helotium	s__uvidulum
OTU1405	k__Fungi						
OTU1406	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Didymellaceae	g__Didymella	
OTU1407	k__Fungi	p__Ascomycota					
OTU1408	k__Fungi	p__Ascomycota					
OTU1409	k__Fungi	p__Ascomycota					
OTU1410	k__Fungi						
OTU1411	k__Fungi	p__Ascomycota					
OTU1412	k__Fungi	p__Ascomycota					
OTU1413	k__Fungi	p__Ascomycota					
OTU1414	k__Fungi						
OTU1415	k__Fungi	p__Chytridiomycota	c__Chytridiomycota_cls_Incertae_sedis	o__Chytridiomycota_ord_Incertae_sedis	f__Chytridiomycota_fam_Incertae_sedis	g__Chytridiomycota_gen_Incertae_sedis	
OTU1416	k__Fungi	p__Chytridiomycota	c__Chytridiomycota_cls_Incertae_sedis	o__Chytridiomycota_ord_Incertae_sedis	f__Chytridiomycota_fam_Incertae_sedis	g__Chytridiomycota_gen_Incertae_sedis	
OTU1417	k__Fungi						
OTU1418	k__Fungi	p__Ascomycota	c__Lecanoromycetes				
OTU1419	k__Fungi						
OTU1420	k__Fungi	p__Ascomycota					
OTU1421	k__Fungi						
OTU1422	k__Fungi						
OTU1423	k__Fungi	p__Ascomycota	c__Lecanoromycetes				
OTU1424	k__Fungi	p__Ascomycota					
OTU1425	k__Fungi						
OTU1426	k__Fungi	p__Chytridiomycota					
OTU1427	k__Fungi						
OTU1428	k__Fungi	p__Ascomycota	c__Lecanoromycetes				
OTU1429	k__Fungi	p__Ascomycota	c__Lecanoromycetes	o__Pertusariales	f__Pertusariaceae	g__Pertusaria	s__obruta
OTU1430	k__Fungi						
OTU1431	k__Fungi						
OTU1432	k__Fungi						
OTU1433	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Aspergillaceae	g__Aspergillus	s__conicus
OTU1434	k__Fungi	p__Ascomycota	c__Lecanoromycetes				
OTU1435	k__Fungi						
OTU1436	k__Fungi	p__Ascomycota	c__Lecanoromycetes				
OTU1437	k__Fungi	p__Ascomycota	c__Lecanoromycetes				
OTU1438	k__Fungi						
OTU1439	k__Fungi						
OTU1440	k__Fungi						
OTU1441	k__Fungi	p__Ascomycota	c__Lecanoromycetes				
OTU1442	k__Fungi						
OTU1443	k__Fungi						
OTU1444	k__Fungi						
OTU1445	k__Fungi						
OTU1446	k__Fungi	p__Ascomycota	c__Lecanoromycetes	o__Pertusariales	f__Pertusariaceae	g__Pertusaria	s__obruta
OTU1447	k__Fungi						
OTU1448	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Debaryomycetaceae	g__Suhomyces	s__pyralidae
OTU1449	k__Fungi	p__Ascomycota	c__Lecanoromycetes	o__Pertusariales	f__Pertusariaceae	g__Pertusaria	s__obruta
OTU1450	k__Fungi						
OTU1451	k__Fungi						
OTU1452	k__Fungi						
OTU1453	k__Fungi						
OTU1454	k__Fungi	p__Chytridiomycota					
OTU1455	k__Fungi	p__Ascomycota					
OTU1456	k__Fungi	p__Chytridiomycota					
OTU1457	k__Fungi						
OTU1458	k__Fungi	p__Ascomycota	c__Lecanoromycetes				
OTU1459	k__Fungi	p__Ascomycota	c__Lecanoromycetes				
OTU1460	k__Fungi						
OTU1461	k__Fungi						
OTU1462	k__Fungi						
OTU1463	k__Fungi	p__Ascomycota	c__Lecanoromycetes				
OTU1464	k__Fungi						
OTU1465	k__Fungi						
OTU1466	k__Fungi						
OTU1467	k__Fungi						
OTU1468	k__Fungi	p__Ascomycota	c__Lecanoromycetes				
OTU1469	k__Fungi						
OTU1470	k__Fungi						
OTU1471	k__Fungi	p__Ascomycota					
OTU1472	k__Fungi						
OTU1473	k__Fungi	p__Ascomycota	c__Lecanoromycetes	o__Pertusariales	f__Pertusariaceae	g__Pertusaria	s__obruta
OTU1474	k__Fungi	p__Ascomycota					
OTU1475	k__Fungi	p__Ascomycota	c__Lecanoromycetes				
OTU1476	k__Fungi	p__Ascomycota					
OTU1477	k__Fungi						
OTU1478	k__Fungi	p__Ascomycota	c__Lecanoromycetes				
OTU1479	k__Fungi	p__Ascomycota	c__Lecanoromycetes				
OTU1480	k__Fungi						
OTU1481	k__Fungi						
OTU1482	k__Fungi	p__Chytridiomycota					
OTU1483	k__Fungi	p__Ascomycota	c__Lecanoromycetes	o__Graphidales	f__Gomphillaceae	g__Gomphillus	s__calycioides
OTU1484	k__Fungi	p__Ascomycota	c__Lecanoromycetes	o__Pertusariales	f__Pertusariaceae	g__Pertusaria	s__obruta
OTU1485	k__Fungi	p__Ascomycota					
OTU1486	k__Fungi	p__Ascomycota	c__Lecanoromycetes	o__Pertusariales	f__Pertusariaceae	g__Pertusaria	s__obruta
OTU1487	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Polyporales	f__Meripilaceae	g__Rigidoporus	s__pouzarii
OTU1488	k__Fungi						
OTU1489	k__Fungi						
OTU1490	k__Fungi						
OTU1491	k__Fungi	p__Ascomycota	c__Lecanoromycetes				
OTU1492	k__Fungi						
OTU1493	k__Fungi						
OTU1494	k__Fungi	p__Ascomycota	c__Lecanoromycetes				
OTU1495	k__Fungi	p__Ascomycota					
OTU1496	k__Fungi	p__Ascomycota					
OTU1497	k__Fungi						
OTU1498	k__Fungi						
OTU1499	k__Fungi						
OTU1500	k__Fungi						
OTU1501	k__Fungi	p__Ascomycota					
OTU1502	k__Fungi	p__Chytridiomycota					
OTU1503	k__Fungi						
OTU1504	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Polyporales	f__Meruliaceae	g__Phlebia	s__livida
OTU1505	k__Fungi	p__Chytridiomycota	c__Chytridiomycota_cls_Incertae_sedis	o__Chytridiomycota_ord_Incertae_sedis	f__Chytridiomycota_fam_Incertae_sedis	g__Chytridiomycota_gen_Incertae_sedis	
OTU1506	k__Fungi						
OTU1507	k__Fungi	p__Ascomycota	c__Lecanoromycetes				
OTU1508	k__Fungi						
OTU1509	k__Fungi	p__Ascomycota	c__Lecanoromycetes				
OTU1510	k__Fungi	p__Ascomycota	c__Lecanoromycetes				
OTU1511	k__Fungi	p__Ascomycota					
OTU1512	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Sarocladiaceae	g__Sarocladium	s__kiliense
OTU1513	k__Fungi	p__Chytridiomycota					
OTU1514	k__Fungi	p__Ascomycota	c__Lecanoromycetes	o__Pertusariales	f__Pertusariaceae	g__Pertusaria	s__obruta
OTU1515	k__Fungi	p__Ascomycota	c__Lecanoromycetes				
OTU1516	k__Fungi						
OTU1517	k__Fungi	p__Ascomycota	c__Lecanoromycetes				
OTU1518	k__Fungi						
OTU1519	k__Fungi	p__Ascomycota	c__Lecanoromycetes	o__Pertusariales	f__Pertusariaceae	g__Pertusaria	s__obruta
OTU1520	k__Fungi	p__Ascomycota	c__Lecanoromycetes	o__Graphidales	f__Gomphillaceae	g__Gomphillus	s__calycioides
OTU1521	k__Fungi	p__Ascomycota	c__Lecanoromycetes				
OTU1522	k__Fungi						
OTU1523	k__Fungi	p__Ascomycota	c__Lecanoromycetes				
OTU1524	k__Fungi						
OTU1525	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Polyporales	f__Meruliaceae	g__Phlebia	s__livida
OTU1526	k__Fungi						
OTU1527	k__Fungi						
OTU1528	k__Fungi						
OTU1529	k__Fungi						
OTU1530	k__Fungi	p__Ascomycota	c__Lecanoromycetes				
OTU1531	k__Fungi	p__Chytridiomycota					
OTU1532	k__Fungi	p__Ascomycota					
OTU1533	k__Fungi	p__Ascomycota					
OTU1534	k__Fungi	p__Ascomycota					
OTU1535	k__Fungi	p__Ascomycota	c__Lecanoromycetes				
OTU1536	k__Fungi	p__Ascomycota					
OTU1537	k__Fungi						
OTU1538	k__Fungi						
OTU1539	k__Fungi						
OTU1540	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Saccharomycetales_fam_Incertae_sedis	g__Candida	s__albicans
OTU1541	k__Fungi						
OTU1542	k__Fungi						
OTU1543	k__Fungi						
OTU1544	k__Fungi						
OTU1545	k__Fungi						
OTU1546	k__Fungi	p__Ascomycota	c__Lecanoromycetes				
OTU1547	k__Fungi						
OTU1548	k__Fungi	p__Ascomycota					
OTU1549	k__Fungi	p__Ascomycota					
