OTU0	Bacteria;Actinomycetota;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;s__
OTU1	Eukaryota;p__;c__;o__;f__;g__;s__
OTU2	Bacteria;Actinomycetota;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;s__
OTU3	Eukaryota;p__;c__;o__;f__;g__;s__
OTU4	Bacteria;Actinomycetota;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;s__
OTU5	Bacteria;Actinomycetota;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;s__
OTU6	Eukaryota;p__;c__;o__;f__;g__;s__
OTU7	Bacteria;Actinomycetota;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;s__
OTU8	Eukaryota;p__;c__;o__;f__;g__;s__
OTU9	Eukaryota;p__;c__;o__;f__;g__;s__
OTU10	Bacteria;p__;c__;o__;f__;g__;s__
OTU11	Bacteria;Pseudomonadota;c__;o__;f__;g__;s__
OTU12	Bacteria;Actinomycetota;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;s__
OTU13	Eukaryota;p__;c__;o__;f__;g__;s__
OTU14	Bacteria;Actinomycetota;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;s__
OTU15	Bacteria;Actinomycetota;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;s__
OTU16	Bacteria;Pseudomonadota;c__;o__;f__;g__;s__
OTU17	Eukaryota;p__;c__;o__;f__;g__;s__
OTU18	Bacteria;Actinomycetota;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;s__
OTU19	Bacteria;Actinomycetota;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;s__
OTU20	Bacteria;Actinomycetota;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;s__
OTU21	Bacteria;Actinomycetota;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;s__
OTU22	Eukaryota;p__;c__;o__;f__;g__;s__
OTU23	Bacteria;p__;c__;o__;f__;g__;s__
OTU24	Bacteria;Pseudomonadota;c__;o__;f__;g__;s__
OTU25	Bacteria;Pseudomonadota;c__;o__;f__;g__;s__
